credential_name,detected,source_type,value_printed,required,status
STATSBOMB_USERNAME,True,environment,False,True,PASS
STATSBOMB_PASSWORD,True,environment,False,True,PASS
STATSBOMB_API_TOKEN,False,not_detected,False,False,WARNING
STATSBOMB_CLIENT_ID,False,not_detected,False,False,WARNING
STATSBOMB_CLIENT_SECRET,False,not_detected,False,False,WARNING
STATSBOMB_AUTH_TOKEN,False,not_detected,False,False,WARNING
STATSBOMB_BASE_URL,False,not_detected,False,False,WARNING
STATSBOMB_API_USERNAME,True,environment,False,True,PASS
STATSBOMB_API_PASSWORD,True,environment,False,True,PASS
STATSBOMB_API_BASE,True,environment,False,False,PASS
